# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-air 17:u 18:T 19:M_local 20:total_p
1.785681012658226541e+00 2.580587471600127945e-03 0.000000000000000000e+00 2.102782500000011101e-04 1.929539352975973010e-01 1.791362674517689811e+03 3.895100740228374825e+00 0.000000000000000000e+00 5.163700141224959225e+04 6.120934116386775941e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.690327581633494701e+05 9.321145167381166630e+02 2.926623412640273703e+00 1.698436266719242791e+06
1.785681012658227429e+00 7.741762414800369523e-03 0.000000000000000000e+00 2.102782500000006764e-04 1.938415358273826161e-01 1.783002385979198607e+03 8.557439847932350574e+00 0.000000000000000000e+00 5.243058788184719015e+04 6.153652396153376003e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.762042466550748795e+05 9.421060282869809726e+02 2.897503476958742663e+00 1.650247023799540475e+06
1.785681012658212774e+00 1.290293735800060980e-02 0.000000000000000000e+00 2.102782500000011101e-04 1.976603589693042839e-01 1.783021044823927923e+03 6.372208976848784623e+00 0.000000000000000000e+00 5.325813223288587324e+04 6.141821548160163502e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.736066415972234681e+05 9.384869747299883329e+02 2.903100354500435465e+00 1.690556295449006604e+06
1.785681012658210109e+00 1.806411230120077288e-02 0.000000000000000000e+00 2.102782500000011101e-04 1.993843802912146079e-01 1.764193432641599429e+03 -1.356847094428289857e+01 0.000000000000000000e+00 5.547993563732974872e+04 6.241463365050832408e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.956404453084224369e+05 9.691850654401479233e+02 2.826653793294397143e+00 1.568085167201836128e+06
1.785681012658239641e+00 2.322528724440150669e-02 0.000000000000000000e+00 2.102782499999976407e-04 2.160521327713617323e-01 1.750350062631569926e+03 -6.881532660345636998e+01 0.000000000000000000e+00 6.258757031008681952e+04 6.368377291562686651e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.242183808516303543e+05 1.009000617448927756e+03 2.750625792979877637e+00 1.574982692305377685e+06
1.785681012658215661e+00 2.838646218760132456e-02 0.000000000000000000e+00 2.102782500000011101e-04 2.204404423161668847e-01 1.738499389342812492e+03 -1.260629782941811357e+02 0.000000000000000000e+00 6.749501034113632340e+04 6.547179005406323995e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.654563023005954456e+05 1.066454403909562416e+03 2.662312986874792564e+00 1.482879873618277488e+06
1.785681012658232314e+00 3.354763713080152060e-02 0.000000000000000000e+00 2.102782499999959059e-04 2.255969499706454717e-01 1.710972107214047128e+03 -1.902428927581817959e+02 0.000000000000000000e+00 6.950807398853095947e+04 6.567726109373166992e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.702683258525358979e+05 1.073158645148754886e+03 2.621175331253715601e+00 1.433142848499241518e+06
1.785681012658217659e+00 3.870881207400185542e-02 0.000000000000000000e+00 2.102782499999976407e-04 2.234314028934668572e-01 1.699549789293342656e+03 -2.697404778125786038e+02 0.000000000000000000e+00 6.786277903499972308e+04 6.520902876994658754e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.593245416285218671e+05 1.057911469253725727e+03 2.638932582316730002e+00 1.438134867314878618e+06
1.785681012658221212e+00 4.386998701720203758e-02 0.000000000000000000e+00 2.102782500000011101e-04 2.117741653112582279e-01 1.695117588021684014e+03 -3.612880924455545255e+02 0.000000000000000000e+00 6.430576413231493643e+04 6.520073328901919467e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.591313609688957222e+05 1.057642324738762227e+03 2.658239251867702269e+00 1.403964839423263911e+06
1.785681012658221212e+00 4.903116196040224056e-02 0.000000000000000000e+00 2.102782500000011101e-04 1.914196957654658859e-01 1.676920966067998279e+03 -4.808150080188345328e+02 0.000000000000000000e+00 5.809827735578930879e+04 6.518570017975479232e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.587813407008722425e+05 1.057154667043385871e+03 2.676185827177202103e+00 1.304013418389981845e+06
